dauer;status;beginn.monat;female;male;alter;bild
3;1;64;1;0;44;1
15;0;94;0;1;39;1
8;0;34;1;0;48;2
5;1;65;1;0;30;2
36;0;98;1;0;44;2
3;1;96;0;1;43;2
2;1;37;1;0;56;1
1;1;67;1;0;32;1
6;0;104;0;1;31;2
36;0;94;0;1;53;1
14;1;14;1;0;34;2
2;0;123;0;1;38;2
36;0;92;0;1;50;3
36;0;55;0;1;42;3
5;0;73;0;1;30;1
2;1;43;0;1;32;1
4;1;72;0;1;32;2
2;1;38;0;1;34;2
2;1;18;0;1;34;2
2;1;23;0;1;26;1
32;0;27;0;1;58;2
2;1;37;0;1;46;1
12;0;74;0;1;62;1
36;0;79;1;0;42;3
11;0;3;0;1;26;2
1;1;53;0;1;29;1
19;0;104;1;0;44;2
4;1;55;1;0;45;2
25;0;54;1;0;58;2
3;1;34;1;0;27;2
9;0;37;0;1;36;1
3;1;98;0;1;37;1
4;0;69;0;1;47;1
6;1;43;0;1;27;2
1;1;84;0;1;42;2
4;1;33;0;1;30;2
17;1;88;0;1;54;1
20;1;98;0;1;28;2
12;0;104;0;1;56;2
3;0;122;0;1;29;2
2;0;9;0;1;36;2
25;0;49;1;0;56;2
12;0;94;0;1;59;1
1;1;74;1;0;54;1
7;1;42;0;1;25;2
7;0;20;0;1;62;1
11;0;86;1;0;31;3
36;0;87;1;0;46;1
3;1;82;1;0;30;1
13;0;94;1;0;26;2
15;0;110;0;1;64;3
12;0;22;1;0;41;2
11;1;112;0;1;62;2
4;0;121;0;1;47;1
11;0;112;1;0;49;3
24;0;93;0;1;63;1
3;1;26;0;1;46;2
2;1;76;1;0;42;2
8;1;25;0;1;56;2
1;1;64;0;1;30;1
4;0;12;1;0;35;2
36;0;58;0;1;42;2
3;0;122;1;0;26;2
18;1;3;1;0;43;1
36;0;24;1;0;52;1
32;0;89;1;0;33;2
1;1;114;0;1;38;1
2;0;75;1;0;28;1
4;1;2;1;0;33;2
6;1;66;0;1;55;1
4;1;73;0;1;51;2
9;0;55;0;1;58;2
